rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1510962730166944439,,256,,1510962730,165164699,'',"[0.09077329188585281, 0.252007395029068, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730176086522,,257,,1510962730,174264126,'',"[0.1064501702785492, 0.252007395029068, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730177907772,,258,,1510962730,176270897,'',"[0.11820782721042633, 0.252007395029068, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730183285532,,259,,1510962730,181276314,'',"[0.11820782721042633, 0.23594501614570618, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730190850897,,260,,1510962730,189117147,'',"[0.12996548414230347, 0.21988265216350555, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730201958345,,261,,1510962730,200294230,'',"[0.14564235508441925, 0.21988265216350555, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730222752720,,262,,1510962730,221170064,'',"[0.1574000120162964, 0.20382027328014374, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730225852876,,263,,1510962730,224137251,'',"[0.17307689785957336, 0.20382027328014374, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730230631105,,264,,1510962730,229133293,'',"[0.18875376880168915, 0.20382027328014374, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730234036418,,265,,1510962730,232325376,'',"[0.20051142573356628, 0.18775789439678192, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730241746001,,266,,1510962730,240145532,'',"[0.21618829667568207, 0.1636643409729004, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730254967980,,267,,1510962730,253245428,'',"[0.2279459536075592, 0.11547721922397614, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730257774803,,268,,1510962730,256179074,'',"[0.24362283945083618, 0.11547721922397614, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730270830428,,269,,1510962730,269149803,'',"[0.25929972529411316, 0.11547721922397614, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730273913032,,270,,1510962730,272110949,'',"[0.2710573673248291, 0.11547721922397614, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730278721730,,271,,1510962730,277138553,'',"[0.2710573673248291, 0.09539925307035446, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962730286535168,,272,,1510962730,285078970,'',"[0.28281503915786743, 0.09539925307035446, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
